FILE_TYPE_NAME,SOURCE_FIELD_NUMBER,COLUMN_NAME,DATATYPE,PY_FUNCTION_CALL 
 POSITION,97,cashFlowFrequency,string,generate_random_string 
 POSITION,98,nextResetDate,time,generate_date 
 POSITION,99,underlyingAssetType,string,generate_random_string 
 POSITION,100,callPutIndicator,string,generate_random_string 
 POSITION,101,buySell,string,generate_random_string 
 POSITION,102,strikeCurrency,string,generate_random_string 
 POSITION,103,strike,number,generate_random_int 
 POSITION,104,strikeUnitOfMeasure,string,generate_random_string 
 POSITION,105,index,string,generate_random_string 
 POSITION,106,tranche,string,generate_random_string 
 POSITION,107,currencyList,string,generate_random_string 
 POSITION,108,quoteType,string,generate_random_string 
 POSITION,109,quoteCurrency,string,generate_random_string 
 POSITION,110,quoteValue,number,generate_random_int 
 POSITION,111,quoteUnitOfMeasure,string,generate_random_string 
 POSITION,112,hasInflationRisk,string,generate_random_string 
 POSITION,113,collateralType,string,generate_random_string 
 POSITION,114,barrierEventType1,string,generate_random_string 
 POSITION,115,barrierEventDirection1,string,generate_random_string 
 POSITION,116,barrierLevel1,number,generate_random_int 
 POSITION,117,barrierEventStartDate1,time,generate_date 
 POSITION,118,barrierEventEndDate1,time,generate_date 
 POSITION,119,barrierRebateAmount1,number,generate_random_int 
 POSITION,120,barrierRebatePayoutStyle1,string,generate_random_string 
 POSITION,121,barrierEventType2,string,generate_random_string 
 POSITION,122,barrierEventDirection2,string,generate_random_string 
 POSITION,123,barrierLevel2,number,generate_random_int 
 POSITION,124,barrierEventStartDate2,time,generate_date 
 POSITION,125,barrierEventEndDate2,time,generate_date 
 POSITION,126,barrierRebateAmount2,number,generate_random_int 
 POSITION,127,barrierRebatePayoutStyle2,string,generate_random_string 
 POSITION,128,deliveryMethod,string,generate_random_string 
 POSITION,129,deliveryStartDate,time,generate_date 
 POSITION,130,deliveryEndDate,time,generate_date 
 POSITION,131,exerciseFrequency,string,generate_random_string 
 POSITION,132,eventStatus,string,generate_random_string 
 POSITION,133,includeInPnL,string,generate_random_string 
 POSITION,135,delay,string,generate_random_string 
 POSITION,136,optionStyle,string,generate_random_string 
 POSITION,137,calculatorType,string,generate_random_string 
 POSITION,138,cutZone,string,generate_random_string 
 POSITION,139,accrualMethod,string,generate_random_string 
 POSITION,140,dealType,string,generate_random_string 
 POSITION,141,legType,string,generate_random_string 
 POSITION,142,bidType,string,generate_random_string 
 POSITION,143,isChinese,string,generate_random_string 
 POSITION,144,isRealized,string,generate_random_string 
 POSITION,145,averagingStartDate,time,generate_date 
 POSITION,146,averagingEndDate,time,generate_date 
 POSITION,147,settlementDate,time,generate_date 
 POSITION,148,underlyingMaturityDate,time,generate_date 
 POSITION,149,isDigital,string,generate_random_string 
 POSITION,150,nextResetEffectiveDate,time,generate_date 
 POSITION,151,nextResetEndDate,time,generate_date 
 POSITION,152,nextCancellableDate,time,generate_date 
 POSITION,153,settlementMechanism,string,generate_random_string 
 POSITION,154,facilityIdDomain,string,generate_random_string 
 POSITION,155,facilityIdId,string,generate_random_string 
 POSITION,156,relatedPartnerPortfolioIdDomain,string,generate_random_string 
 POSITION,157,relatedPartnerPortfolioIdId,string,generate_random_string 
 POSITION,158,relatedPartnerAccountIdDomain,string,generate_random_string 
 POSITION,159,relatedPartnerAccountIdId,string,generate_random_string 
 POSITION,160,calculatedMaturityDate,time,generate_date 
 POSITION,161,impairmentType,string,generate_random_string 
 POSITION,162,isSubordinated,string,generate_random_string 
 POSITION,163,bookingReason,string,generate_random_string 
 POSITION,164,reserveType,string,generate_random_string 
 POSITION,165,costCentreIdDomain,string,generate_random_string 
 POSITION,166,costCentreIdId,string,generate_random_string 
 POSITION,167,accountingTreatment,string,generate_random_string 
 POSITION,168,adjustmentDescription,string,generate_random_string 
 POSITION,169,optionExpiryDate,time,generate_date 
 POSITION,170,nextOptionExpiryDate,time,generate_date 
 POSITION,171,valuationModelRunTime,time,generate_date 
 POSITION,172,valuationType,string,generate_random_string 
 POSITION,173,isBifurcated,string,generate_random_string 
 POSITION,174,isFunded,string,generate_random_string 
 POSITION,175,isCollaterised,string,generate_random_string 
 POSITION,176,isDailyMargined,string,generate_random_string 
 POSITION,177,assestPledgedState,string,generate_random_string 
 POSITION,178,agentCounterPartyIdDomain,string,generate_random_string 
 POSITION,179,agentCounterPartyIdId,string,generate_random_string 
 POSITION,180,ValuationCalculationMethod,string,generate_random_string 
 POSITION,181,CollateralSubType,string,generate_random_string 
 POSITION,182,amortizationType,string,generate_random_string 
 POSITION,183,compoundingFrequency,string,generate_random_string 
 POSITION,184,businessDayConvention,string,generate_random_string 
 POSITION,185,primaryPositionIdDomain,string,generate_random_string 
 POSITION,186,primaryPositionIdId,string,generate_random_string 
 POSITION,187,isPrimary
 POSITION,string,generate_random_string 
 POSITION,188,positionClassification,string,generate_random_string 
 POSITION,189,positionClassificationDomain,string,generate_random_string 
 RISK_VALUE,1,positionId,int,reuse_position_id 
 RISK_VALUE,2,ubsMeasureId,string,generate_random_string 
 RISK_VALUE,2,measureTypeIdDomain,string,generate_random_string 
 RISK_VALUE,3,scenarioIdDomain,string,generate_random_string 
 RISK_VALUE,3,measureTypeIdId,int,generate_random_int 
 RISK_VALUE,4,scenarioId,number,generate_random_int 
 RISK_VALUE,5,scenarioIdId,int,generate_random_int 
 RISK_VALUE,5,marketDataSegmentId1,int,reuse_mds_id 
 RISK_VALUE,6,marketDataSegmentId2,int,reuse_mds_id 
 RISK_VALUE,7,valueUSD,number,generate_random_int 
 RISK_VALUE,8,unitOfMeasure,string,generate_random_string 
 RISK_VALUE,8,localCurrency,string,generate_random_string 
 RISK_VALUE,9,valueLocalCurrency,number,generate_random_int 
 RISK_VALUE,9,valueUnitOfMeasure,number,generate_random_int 
 RISK_VALUE,10,expectedAssetFlowId,string,generate_random_string
